    25357/  4 | SET 0
    25556/  4 | 5013 
    25556/  4 | 5013 
    25556/  4 | 5013 
    25557/  4 | 5013 
    25557/  4 | 5013 
    25557/  4 | 5013 
    25557/  4 | 5013 
    25558/  4 | 5013 
    25558/  4 | 5013 
    25558/  4 | 5013 
    25558/  4 | 5013 
    25558/  4 | 5013 
    25559/  4 | 5013 
    25559/  4 | 5013 
    25559/  4 | 5013 
    25559/  4 | 5013 
    25560/  4 | 5013 
    25560/  4 | 5013 
    25560/  4 | 5013 
    25560/  4 | 5013 
    25561/  4 | 5013 
    25561/  4 | 3619 
    25561/  4 | 3619 
    25561/  4 | 3619 
    25562/  4 | 3619 
    25562/  4 | 3619 
    25562/  4 | 3619 
    25562/  4 | 3619 
    25562/  4 | 3619 
    25563/  4 | 3619 
    25563/  4 | 3619 
    25563/  4 | 3619 
    25563/  4 | 3619 
    25564/  4 | 3619 
    25564/  4 | 3619 
    25564/  4 | 3619 
    25564/  4 | 3619 
    25565/  4 | 3619 
    25565/  4 | 3619 
    25565/  4 | 3619 
    25565/  4 | 3619 
    25566/  4 | 3619 
    25566/  4 | 3619 
    25566/  4 | 3619 
    25566/  4 | 3619 
    25567/  4 | 3619 
    25567/  4 | 3619 
    25567/  4 | 3619 
    25567/  4 | 3619 
    25567/  4 | 3619 
    25568/  4 | 3619 
    25568/  4 | 3619 
    25568/  4 | 3619 
    25568/  4 | 3619 
    25569/  4 | 3619 
    25569/  4 | 3619 
    25569/  4 | 3619 
    25569/  4 | 3619 
    25570/  4 | 3619 
    25570/  4 | 3619 
    25570/  4 | 3619 
    25570/  4 | 3619 
    25571/  4 | 3619 
    25571/  4 | 3619 
    25571/  4 | 3619 
    25571/  4 | 3619 
    25571/  4 | 3619 
    25572/  4 | 3619 
    25572/  4 | 3619 
    25572/  4 | 3619 
    25572/  4 | 3619 
    25573/  4 | 3619 
    25573/  4 | 3619 
    25573/  4 | 3619 
    25573/  4 | 3619 
    25574/  4 | 3619 
